time_s,A1,A2,A3,AR1,AR2,AR3,CF1,CF2,CF3,RF1,RF2,RF3,RM1,RM2,RM3,U1,U2,U3,UR1,UR2,UR3,V1,V2,V3,VR1,VR2,VR3
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
4.999999987376214e-07,-0.0003723842673934996,-0.00040738185634836555,0.00020875591144431382,0.0950528010725975,-1.1476740837097168,-0.7143877744674683,-3.72383244032215e-12,-4.073807263749174e-12,2.0875534374048543e-12,0.0,0.0,0.0,0.0,-0.0,0.0,-7.448717575467549e-18,-8.148766318135464e-18,4.175696654083533e-18,1.9014079132934287e-15,-2.29564563430755e-14,-1.4290098035549433e-14,-6.331028756800805e-11,-6.926034051835117e-11,3.549128699265047e-11,1.616066747089917e-08,-1.9511888638135133e-07,-1.2145717676048662e-07
9.999999974752427e-07,-0.0014890411403030157,-0.001628984697163105,0.0008347455295734107,0.38004207611083984,-4.5892653465271,-2.8564250469207764,-1.4890370186870783e-11,-1.628980283996384e-11,8.347432120525689e-12,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2287895054417314e-16,-1.3442742421681788e-16,6.888504707968458e-17,3.136474573442981e-14,-3.78709758865059e-13,-2.3573013658260977e-13,-4.989106350272721e-10,-5.457994611823835e-10,2.7968563576230565e-10,1.273420053848895e-07,-1.5376399460365064e-06,-9.570882184561924e-07
1.500000053056283e-06,-0.0033492266666144133,-0.0036639943718910217,0.001877551549114287,0.8547141551971436,-10.322628021240234,-6.424422740936279,-3.349217431170004e-11,-3.6639843936647765e-11,1.8775463822562344e-11,0.0,0.0,0.0,0.0,-0.0,0.0,-6.254400755879516e-16,-6.842204034186966e-16,3.5061711241730084e-16,1.5963226292041444e-13,-1.9276149686858757e-12,-1.1997955797274362e-12,-1.678751360145725e-09,-1.8365242659967862e-09,9.410956458566488e-10,4.284488284156396e-07,-5.173985300643835e-06,-3.2202954116655746e-06
1.9999999949504854e-06,-0.005952196661382914,-0.006511596962809563,0.003336756955832243,1.518815517425537,-18.34561538696289,-11.416692733764648,-5.952180415214059e-11,-6.511578776180471e-11,3.3367478918799875e-11,0.0,0.0,0.0,0.0,-0.0,0.0,-1.980163554421476e-15,-2.1662638927132973e-15,1.1100650529804936e-15,5.053669071761191e-13,-6.1029692584313455e-12,-3.7984524380030305e-12,-3.974410578422294e-09,-4.347934456916391e-09,2.228025097750219e-09,1.0142591690964764e-06,-1.2249503924977034e-05,-7.623637429787777e-06
2.499999936844688e-06,-0.009297207929193974,-0.01017097756266594,0.005211944226175547,2.3720924854278564,-28.65608024597168,-17.831546783447266,-9.297182468337439e-11,-1.017095019317793e-10,5.2119298460384655e-11,0.0,0.0,0.0,0.0,-0.0,0.0,-4.837777009233154e-15,-5.292442272462634e-15,2.712021831947583e-15,1.234588928485103e-12,-1.491047736668083e-11,-9.279734099199022e-12,-7.75709541045444e-09,-8.486123803663759e-09,4.348569504486477e-09,1.979424268938601e-06,-2.3908471121103503e-05,-1.487882764195092e-05
3.000000106112566e-06,-0.013383515179157257,-0.014641323126852512,0.007502696476876736,3.4142918586730957,-41.25187683105469,-25.667295455932617,-1.3383479047224256e-10,-1.4641284018512835e-10,7.502675564152739e-11,0.0,0.0,0.0,0.0,-0.0,0.0,-1.0034518111183208e-14,-1.0977584265865412e-14,5.625275822273212e-15,2.5606125293037296e-12,-3.0927711780481815e-11,-1.924731901636889e-11,-1.3397638554124569e-08,-1.4656776237131908e-08,7.510615240846619e-09,3.4184686228400096e-06,-4.129408989683725e-05,-2.5696735974634066e-05
3.5000000480067683e-06,-0.01821037568151951,-0.019921818748116493,0.010208595544099808,4.64516019821167,-56.130855560302734,-34.9222526550293,-1.821032630244801e-10,-1.9921764238262085e-10,1.0208568018699182e-10,0.0,0.0,0.0,0.0,-0.0,0.0,-1.8591949675758265e-14,-2.033926006133127e-14,1.042250748190367e-14,4.743982550542425e-12,-5.7303578548939527e-11,-3.566011375077949e-11,-2.1266505001449332e-08,-2.3265172899300524e-08,1.1921840403772421e-08,5.425789822766092e-06,-6.554849096573889e-05,-4.078738857060671e-05
3.999999989900971e-06,-0.02377704530954361,-0.026011651381850243,0.013329225592315197,6.064444541931152,-73.2908706665039,-45.594730377197266,-2.37769803845822e-10,-2.6011579001838925e-10,1.3329189141320086e-10,0.0,0.0,0.0,0.0,-0.0,0.0,-3.1716772627308695e-14,-3.469757643638667e-14,1.778018209822995e-14,8.092411289684076e-12,-9.775778103682242e-11,-6.083181874894095e-11,-3.1733783600884635e-08,-3.471618370554097e-08,1.7789714590321637e-08,8.095659723039716e-06,-9.781272092368454e-05,-6.085996574256569e-05
4.500000159168849e-06,-0.03008277900516987,-0.03291000425815582,0.016864169389009476,7.671890735626221,-92.72978210449219,-57.683040618896484,-3.0082697444200335e-10,-3.2909916458656596e-10,1.6864122598381215e-10,0.0,0.0,0.0,0.0,-0.0,0.0,-5.0800634993119e-14,-5.557497685789933e-14,2.847845047347468e-14,1.2960714099174986e-11,-1.5658027652243334e-10,-9.743052892252635e-11,-4.516919105412853e-08,-4.941427178550839e-08,2.5321499563801808e-08,1.1522221939230803e-05,-0.00013922677317168564,-8.662280743010342e-05
